Local,Categoria,P,Trocas,R,Disputa,Check-ins
Oysy,Restaurant,0,0.0,0,0.0,4,
Oral Kare,Dentist's Office,0,0.0,0,0.0,18,
Open Books Warehouse,Bookstore,0,0.0,0,0.0,4,
Old Town Oil,Gourmet Shop,0,0.0,0,0.0,0,
Old Town Gardens,Flower Shop,0,0.0,0,0.0,2,
Ohio Street Beach,Beach,0,0.0,0,0.0,64,
Norwegian American Hospital,Hospital,0,0.0,0,0.0,41,
Northwestern University School Of Law,Law School,0,0.0,0,0.0,2,
Northwestern Internists,Doctor's Office,0,0.0,0,0.0,17,
Northwestern Arkes Family Pavilion,Doctor's Office,0,0.0,0,0.0,377,
North Western Hospital,Hospital,0,0.0,0,0.0,0,
North Pond Nature Sanctuary,Lake,0,0.0,0,0.0,50,
North Avenue Beach Volleyball,Beach,0,0.0,0,0.0,34,
Nitecap Coffee Bar,Coffee Shop,0,0.0,0,0.0,0,
Never Mind,Women's Store,0,0.0,0,0.0,0,
Navy Recruiting Station,Military Base,0,0.0,0,0.0,3,
Myopic Books,Bookstore,0,0.0,0,0.0,13,
Museum Of Contemporary Photography,Art Museum,0,0.0,0,0.0,17,
Museum Campus,Other Great Outdoors,0,0.0,0,0.0,18,
Monarc Custom Clothing,Clothing Store,0,0.0,0,0.0,0,
Mobil,Gas Station,0,0.0,0,0.0,0,
Millennium Park Orthodontics,Dentist's Office,0,0.0,0,0.0,18,
Mikos Italian Ice,Ice Cream Shop,0,0.0,0,0.0,2,
Midwest Trailer Repair,Automotive Shop,0,0.0,0,0.0,330,
Micro Center,Electronics Store,0,0.0,0,0.0,297,
Mercy Hospital Emergency Room,Emergency Room,0,0.0,0,0.0,1,
Meigs Field Control Tower,Airport,0,0.0,0,0.0,0,
Marathon Gas,Gas Station,0,0.0,0,0.0,2,
Macys,Department Store,0,0.0,0,0.0,337,
Loop Tavern,Bar,0,0.0,0,0.0,17,
Lincoln Park Zoo,Zoo,0,0.0,0,0.0,38,
Lincoln Park Institute,Doctor's Office,0,0.0,0,0.0,0,
Lincoln Park High School,High School,0,0.0,0,0.0,36,
Lincoln Park Boat Club,Lake,0,0.0,0,0.0,0,
Leonidas Chocolate,Chocolate Shop,0,0.0,0,0.0,0,
Lemonade Stand,Food Truck,0,0.0,0,0.0,0,
Lakeview Athletic Club,Gym,0,0.0,0,0.0,46,
Lakeshore Bike,Bike Shop,0,0.0,0,0.0,0,
Lake Michigan Running Path,Trail,0,0.0,0,0.0,8,
Lake Michigan,Lake,0,0.0,0,0.0,7,
Kmart,Electronics Store,0,0.0,0,0.0,36,
Kinzie Hotel,Hotel,0,0.0,0,0.0,2,
Kimbark Plaza,Shopping Mall,0,0.0,0,0.0,4,
Kenwood Academy High School,High School,0,0.0,0,0.0,12,
Kennicott Bros Floral Wholesale,Flower Shop,0,0.0,0,0.0,3,
Kendall College,University,0,0.0,0,0.0,360,
K2 Gym,Gym,0,0.0,0,0.0,4,
Juarez High School,High School,0,0.0,0,0.0,2,
Jerk Modern Jamaican Grill Food Truck,Food Truck,0,0.0,0,0.0,0,
Jane Addams Hullhouse Museum,History Museum,0,0.0,0,0.0,0,
J Toor,Clothing Store,0,0.0,0,0.0,20,
J C Lind Bike Co,Bike Shop,0,0.0,0,0.0,0,
Ivy Sky Terrace Chicago,Bar,0,0.0,0,0.0,0,
Isaacson Stein Fish Market,Fish Market,0,0.0,0,0.0,0,
Iron Cycles Bike Shop,Bike Shop,0,0.0,0,0.0,0,
Ios Genius Llc,IT Services,0,0.0,0,0.0,6,
Ihsp Chicago,Hostel,0,0.0,0,0.0,0,
Hyde Park Shopping Center,Shopping Mall,0,0.0,0,0.0,6,
Hyde Park Produce,Grocery Store,0,0.0,0,0.0,12,
Hyatt Regency Chicago,Hotel,0,0.0,0,0.0,5,
Hyatt Centric Chicago Magnificent Mile,Hotel,0,0.0,0,0.0,4,
Howard Johnson Inn,Motel,0,0.0,0,0.0,4,
Hotel Zachary,Hotel,0,0.0,0,0.0,3,
Hostelling International Chicago,Hostel,0,0.0,0,0.0,7,
Holiday Inn Chicago Mart Plaza River North,Hotel,0,0.0,0,0.0,4,
Hersheys Chocolate World Chicago,Chocolate Shop,0,0.0,0,0.0,0,
Haute Sausage,Food Truck,0,0.0,0,0.0,2,
Harmony Health,Doctor's Office,0,0.0,0,0.0,0,
Hard Rock Hotel Chicago,Hotel,0,0.0,0,0.0,2,
Halsted Flowers,Flower Shop,0,0.0,0,0.0,2,
Guaranteed Rate Field,Baseball Stadium,0,0.0,0,0.0,23,
Groupon Game Room,Arcade,0,0.0,0,0.0,70,
Greater Englewood Parish United Methodist Church,Church,0,0.0,0,0.0,147,
Graham Cracker Comics,Comic Shop,0,0.0,0,0.0,22,
Goose Island Shrimp House Chicago,Restaurant,0,0.0,0,0.0,14,
Go Grocer,Grocery Store,0,0.0,0,0.0,3,
Glazed And Infused,Donut Shop,0,0.0,0,0.0,54,
Gelato Greco,Dessert Shop,0,0.0,0,0.0,0,
Gage Park High School,High School,0,0.0,0,0.0,2,
Froyo,Frozen Yogurt Shop,0,0.0,0,0.0,0,
