Local,Categoria,P,Trocas,R,Disputa,Check-ins
Supercenter Angeloni,Supermarket,0,0.0,0,0.0,179,
Super Kusma,Grocery Store,0,0.0,0,0.0,0,
Supemercados Goes Novo Mundo,Supermarket,0,0.0,0,0.0,34,
Studio Wasty,Spa,0,0.0,0,0.0,46,
Strike 7,Bowling Alley,0,0.0,0,0.0,0,
Soviet,Nightclub,0,0.0,0,0.0,508,
Sorveteria Quebragelo,Ice Cream Shop,0,0.0,0,0.0,70,
Softwaresul Tecnologia,IT Services,0,0.0,0,0.0,0,
SimitéRio Moto Peças,Bike Shop,0,0.0,0,0.0,0,
Shopping áGua Verde,Shopping Mall,0,0.0,0,0.0,450,
Shell Select,Convenience Store,0,0.0,0,0.0,380,
Shadow Bar,Bar,0,0.0,0,0.0,0,
Sefid Pmpr,Military Base,0,0.0,0,0.0,426,
Sede Torcida Organizada Os Fanaticos,Professional & Other Places,0,0.0,0,0.0,39,
Sede Cornetas Do Fosso,Sports Bar,0,0.0,0,0.0,21,
Sede Comando Loteca No Hugo Lange,Sports Bar,0,0.0,0,0.0,0,
Sbb Sociedade Bíblica Do Brasil,Bookstore,0,0.0,0,0.0,0,
Satoshi Arena,Soccer Field,0,0.0,0,0.0,240,
Sapeca Kids,Kids Store,0,0.0,0,0.0,213,
Sao Francisco Do Sul Sc,Beach,0,0.0,0,0.0,0,
Sansai Sushi Bar,Sushi Restaurant,0,0.0,0,0.0,28,
Sanident,Dentists Office,0,0.0,0,0.0,72,
Sala 9B,High School,0,0.0,0,0.0,426,
Sala 209 Colégio Sesi,High School,0,0.0,0,0.0,1562,
Sal Grosso Churrasco Bar,Bar,0,0.0,0,0.0,14,
Saint Patrick Pub,Pub,0,0.0,0,0.0,183,
Rockville Bar,Pub,0,0.0,0,0.0,0,
Rigoletto Ristorante,Restaurant,0,0.0,0,0.0,375,
Rg Relogi%C3%B3S,Jewelry Store,0,0.0,0,0.0,355,
Restaurante Via Faivre,Restaurant,0,0.0,0,0.0,195,
Restaurante Nosso Sabor,Restaurant,0,0.0,0,0.0,111,
Restaurante Joyfull,Restaurant,0,0.0,0,0.0,40,
Restaurante Castelo Santangelo,Restaurant,0,0.0,0,0.0,72,
Restaurante Benvenuto,Restaurant,0,0.0,0,0.0,129,
Rei Do Tabaco,Smoke Shop,0,0.0,0,0.0,0,
Rei Do Narguile,Smoke Shop,0,0.0,0,0.0,0,
Rei Do Mate,Tea Room,0,0.0,0,0.0,1,
Radio Taxi Faixa Vermelha,Taxi,0,0.0,0,0.0,12,
Quiznos Sub,Sandwich Place,0,0.0,0,0.0,132,
Quick Temaki,Restaurant,0,0.0,0,0.0,177,
Quartel Do Comando Geral Pmpr,Military Base,0,0.0,0,0.0,293,
Qg Secreto Da Macumba Iniciatica De Curitiba,Cemetery,0,0.0,0,0.0,216,
Purple Hills,Nightclub,0,0.0,0,0.0,0,
Pulse Bar E Danceteria,Nightclub,0,0.0,0,0.0,136,
Pucpr Lumi Lanches,Sandwich Place,0,0.0,0,0.0,198,
Psicóloga Rafaela Senff Ribeiro,Doctors Office,0,0.0,0,0.0,288,
Prodent,Dentists Office,0,0.0,0,0.0,0,
Procampo,Pet Store,0,0.0,0,0.0,45,
Print Express,Electronics Store,0,0.0,0,0.0,0,
Presídio Do Ahú,Police Station,0,0.0,0,0.0,785,
Premier Sport Bar,Sports Bar,0,0.0,0,0.0,0,
Praça Osvaldo Cruz,Park,0,0.0,0,0.0,0,
Praça Guanabara,Park,0,0.0,0,0.0,1357,
Praça 7,Playground,0,0.0,0,0.0,102,
Pratanet,Jewelry Store,0,0.0,0,0.0,0,
Prata Fina,Jewelry Store,0,0.0,0,0.0,0,
Pracinha De Santa,Playground,0,0.0,0,0.0,67,
Posto Petronas Br,Convenience Store,0,0.0,0,0.0,71,
Posto Ipiranga Sino,Gas Station,0,0.0,0,0.0,628,
Posto 2001,Gas Station,0,0.0,0,0.0,45,
Positivo InformáTica,Office,0,0.0,0,0.0,576,
Portal Da Marechal,Convenience Store,0,0.0,0,0.0,432,
Ponto Frio,Department Store,0,0.0,0,0.0,0,
Ponto Do Pernil,Sandwich Place,0,0.0,0,0.0,528,
Pontifícia Universidade Católica Do Paraná Pucpr,University,0,0.0,0,0.0,0,
Pontificão,Pontifice3o,0,0.0,0,0.0,0,
Política Estado E Constituição,Law School,0,0.0,0,0.0,142,
Polloshop,Shopping Mall,0,0.0,0,0.0,994,
Poetria Livros E Arte,Bookstore,0,0.0,0,0.0,0,
Plug Oi Polloshop,Mobile Phone Shop,0,0.0,0,0.0,183,
Plug Oi Palladium,Mobile Phone Shop,0,0.0,0,0.0,136,
Plantação De Batatas,Farm,0,0.0,0,0.0,0,
Pizzaria O Fornari,Pizza Place,0,0.0,0,0.0,73,
Pizzaria Formaggio,Pizza Place,0,0.0,0,0.0,0,
Pizzaria E Choperia Treviso,Pizza Place,0,0.0,0,0.0,0,
Pitty Dog,Food Truck,0,0.0,0,0.0,22,
Piscina Utfpr,Pool,0,0.0,0,0.0,0,
Piscina Do Clube Morgenau,Pool,0,0.0,0,0.0,134,
Phd Sports,Gym,0,0.0,0,0.0,538,
Pet Shop Scooby,Pet Store,0,0.0,0,0.0,66,
Pet Shop Do Guga,Pet Store,0,0.0,0,0.0,0,
Pet Shop Carinhosmimos,Pet Store,0,0.0,0,0.0,0,
Pet Shop Caiuá,Pet Store,0,0.0,0,0.0,134,
Pet Boutique Batel,Pet Store,0,0.0,0,0.0,0,
Penna Sport,Soccer Field,0,0.0,0,0.0,57,
Paulinho Sushi Bar,Sushi Restaurant,0,0.0,0,0.0,4,
Passarela Ecológica,Park,0,0.0,0,0.0,792,
Paróquia Santa QuitéRia,Church,0,0.0,0,0.0,74,
Parquinho Do Spazio Carmen,Playground,0,0.0,0,0.0,134,
Parquinho Do Ed Lugano Blc A,Playground,0,0.0,0,0.0,67,
Parque Cambuí,Park,0,0.0,0,0.0,467,
Panvel Farmácias,Pharmacy,0,0.0,0,0.0,102,
Panvel,Pharmacy,0,0.0,0,0.0,0,
Paleteria Mexicana,Ice Cream Shop,0,0.0,0,0.0,72,
Oxplen,Dentists Office,0,0.0,0,0.0,216,
Oticas Visopol,Optical Shop,0,0.0,0,0.0,71,
Ortomaster,Dentists Office,0,0.0,0,0.0,144,
Oi,Mobile Phone Shop,0,0.0,0,0.0,0,
Núcleo De PráTica Jurídica Npj Unicuritiba,Law School,0,0.0,0,0.0,71,
Nuciber Núcleo De Combate Aos Cibercrimes Da Polícia Civil,Police Station,0,0.0,0,0.0,0,
Nosso Supermercado,Grocery Store,0,0.0,0,0.0,92,
Nobre Café,Coffee Shop,0,0.0,0,0.0,288,
No Chão,Funeral Home,0,0.0,0,0.0,0,
Nice Hand Nh Poker Club,Casino,0,0.0,0,0.0,144,
New Soccer,Soccer Field,0,0.0,0,0.0,141,
New Orleans,Restaurant,0,0.0,0,0.0,132,
Museu Do Holocausto De Curitiba,History Museum,0,0.0,0,0.0,876,
Museu Do Autom%C3%B3Vel,Museum,0,0.0,0,0.0,0,
Museu Da Fotografia Cidade De Curitiba,Museum,0,0.0,0,0.0,0,
Mundo MáGico Das Bolinhas,Playground,0,0.0,0,0.0,134,
Mundo Do Jão,Nightclub,0,0.0,0,0.0,272,
Moça Biju Novo Mundo,Jewelry Store,0,0.0,0,0.0,0,
Moto Escola Bello,School,0,0.0,0,0.0,132,
Monsters Gym Concept,Gym,0,0.0,0,0.0,7,
Mma Lava Car E Estacionamento,Car Wash,0,0.0,0,0.0,72,
Mirante Do Passaúna,Park,0,0.0,0,0.0,0,
Microparts Informatica,Electronics Store,0,0.0,0,0.0,0,
Mexicato Paletas Mexicanas,Ice Cream Shop,0,0.0,0,0.0,284,
Metrô Club Show,Strip Club,0,0.0,0,0.0,0,
Mercure Curitiba Centro,Hotel,0,0.0,0,0.0,0,
Mercearia Bresser,Pizza Place,0,0.0,0,0.0,98,
Mercadorama,Supermarket,0,0.0,0,0.0,359,
Mercado Vince,Grocery Store,0,0.0,0,0.0,257,
Mercado Vaccari,Food & Drink Shop,0,0.0,0,0.0,0,
Mercado Popular,Food & Drink Shop,0,0.0,0,0.0,0,
Mercado Ouro Verde,Food & Drink Shop,0,0.0,0,0.0,0,
Medilar Hauer,Emergency Room,0,0.0,0,0.0,144,
Maxisorriso,Dentists Office,0,0.0,0,0.0,0,
Max Sushi,Sushi Restaurant,0,0.0,0,0.0,7,
Max Supermercado,Grocery Store,0,0.0,0,0.0,142,
Maia Box,Restaurant,0,0.0,0,0.0,64,
Magnólia Atelier De Flores,Flower Shop,0,0.0,0,0.0,72,
Magazine Luiza,Department Store,0,0.0,0,0.0,56,
Mad,Church,0,0.0,0,0.0,72,
Lojas Coppel,Department Store,0,0.0,0,0.0,71,
Loja Dos Games,Video Game Store,0,0.0,0,0.0,0,
Localiza Rent A Car Agencia Parolim,Rental Car Location,0,0.0,0,0.0,50,
Localiza Rent A Car,Rental Car Location,0,0.0,0,0.0,0,
Livraria Arte Letra,Bookstore,0,0.0,0,0.0,73,
Lins Multimarcas,Automotive Shop,0,0.0,0,0.0,0,
Linha Vila Sao Paulo,Bus Stop,0,0.0,0,0.0,0,
Lilivet,Pet Store,0,0.0,0,0.0,134,
Lfg Curitiba Unidade De Cursos Preparatórios,School,0,0.0,0,0.0,990,
Le Voleur De VéLo,Bike Shop,0,0.0,0,0.0,76,
Lava Car Monte Sinai,Car Wash,0,0.0,0,0.0,0,
Laricão,Hot Dog Joint,0,0.0,0,0.0,0,
La Paula Lanches,Bar,0,0.0,0,0.0,232,
La Casa Del Tabaco,Smoke Shop,0,0.0,0,0.0,0,
Kf Grill,Restaurant,0,0.0,0,0.0,167,
Kaes Bar,Bar,0,0.0,0,0.0,734,
Junta De Serviço Militar 001,Military Base,0,0.0,0,0.0,0,
Joy Academia,Gym,0,0.0,0,0.0,213,
John John Denim,Clothing Store,0,0.0,0,0.0,504,
Jardins Grill,Restaurant,0,0.0,0,0.0,256,
Jardinete Jorge Haikel Fahd,Playground,0,0.0,0,0.0,67,
Jardim Botânico,Park,0,0.0,0,0.0,1260,
James,Nightclub,0,0.0,0,0.0,340,
J Bueno Mecanica,Automotive Shop,0,0.0,0,0.0,0,
Ix Chel Flores,Flower Shop,0,0.0,0,0.0,72,
Itiban Comic Shop,Comic Shop,0,0.0,0,0.0,77,
Ishima Massoterapia,Spa,0,0.0,0,0.0,24,
Inter Americano,School,0,0.0,0,0.0,0,
Instituto De Criminalistica,Police Station,0,0.0,0,0.0,603,
In Corpore,Spa,0,0.0,0,0.0,104,
Imperial Futebol Clube,Football Stadium,0,0.0,0,0.0,144,
Imagem Corporal,Spa,0,0.0,0,0.0,18,
Ihouse,Electronics Store,0,0.0,0,0.0,0,
Igreja Universal Do Reino De Deus,Church,0,0.0,0,0.0,145,
Igreja Adventista Do Sétimo Dia De Santa Efigênia,Church,0,0.0,0,0.0,288,
Ictr Instituto Do Câncer E Transplante,Doctors Office,0,0.0,0,0.0,0,
Icenter,Electronics Store,0,0.0,0,0.0,56,
Hospital Menino Deus,Hospital,0,0.0,0,0.0,0,
Hipermercado Big,Big Box Store,0,0.0,0,0.0,246,
Hiper Muffato,Supermarket,0,0.0,0,0.0,515,
Himalaia Distribuidora,Candy Store,0,0.0,0,0.0,144,
Heliponto Couto Pereira,General Travel,0,0.0,0,0.0,152,
Gés Jóias E Relógios,Jewelry Store,0,0.0,0,0.0,0,
Granja Giliczynski,Strip Club,0,0.0,0,0.0,0,
Goleadores Futebol Society,Soccer Field,0,0.0,0,0.0,175,
Girardis House,Strip Club,0,0.0,0,0.0,0,
Genius Pizzarias,Pizza Place,0,0.0,0,0.0,0,
Genaudas Sprachschule,School,0,0.0,0,0.0,132,
Galeria General Osório,Shopping Mall,0,0.0,0,0.0,84,
Galeria Central Park,Shopping Plaza,0,0.0,0,0.0,0,
